"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"28070111982","28067015238","61871136","2010-10-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@CotyPonce paraaaa canosa V.","","","",""
"28070145216","","","2010-10-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vos sos mi vida, estar a tu lado es una locura! )H(","","","",""
"27886151995","","","2010-10-20 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Juan® - Taringa! http://t.co/XCkA5LZ vía @taringa","","","","http://www.taringa.net/posts/musica/7537003/Enrique-Bunbury-1997-2010-act_-_MU_-Juan_.html"
"27897941649","","","2010-10-20 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Annabel lee, tk.","","","",""
"27881198316","","","2010-10-19 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Las evidencias no se pueden ocultar...""","","","",""
"27400908849","","","2010-10-15 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Viviendo de los sueños...la libertad resucitas !","","","",""
"27291658042","","","2010-10-14 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Enrique Bunbury - Primer concierto flamingos [MU]Juan® - Taringa! http://t.co/1G2mQPB vía @taringa","","","","http://www.taringa.net/posts/musica/7447026/Enrique-Bunbury---Primer-concierto-flamingos-_MU_Juan_.html"
"26996318957","","","2010-10-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Copi_Corellano: Proxima Fecha: LA BOHEMIA (CABALLITO) dia Jueves 11 de Noviembre de 21:00 – 23:00 Hs.-Yerbal 1657, entre Morelos y.. ...","26983638930","65102300","2010-10-11 00:14:42 +0000",""
"27018931861","","","2010-10-11 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Enrique Bunbury - Las consecuencias 320kbs Juan® - Taringa! http://t.co/EozMVQ5 vía @taringa","","","","http://www.taringa.net/posts/musica/7400035/Enrique-Bunbury---Las-consecuencias-320kbs-Juan_.html"
"27063651062","","","2010-10-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bunburyoficial: Muestra su elegancia dentro de la sencillez, Bunbury El extranjero http://fb.me/JcEBAbtS","27038036073","106876550","2010-10-11 14:23:46 +0000",""
"26892045369","","","2010-10-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bunburyoficial: Enrique Bunbury llena el Auditorio Nacional http://fb.me/znz3OgNw","26880020455","106876550","2010-10-09 22:07:19 +0000",""
"26967677885","","","2010-10-10 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Enrique Bunbury post dominguero Juan® - Taringa! http://t.co/2rDg6pM vía @taringa","","","","http://www.taringa.net/posts/downloads/7390466/Enrique-Bunbury-post-dominguero-Juan_.html"
"26821127386","","","2010-10-09 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","2010 - Bunbuby 3D audio(trackeado) y video [MU] Juan® - Taringa! http://t.co/lbxMRgb vía @taringa","","","","http://www.taringa.net/posts/downloads/7369893/2010---Bunbuby-3D-audio_trackeado_-y-video-_MU_-Juan_.html"
"26852636092","","","2010-10-09 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Heroes del Silencio - Tesoro(audio) Ult. Concierto Juan® - Taringa! http://t.co/UXp6N1V vía @taringa","","","","http://www.taringa.net/posts/musica/7370063/Heroes-del-Silencio---Tesoro_audio_-Ult_-Concierto-Juan_.html"
"26852674283","","","2010-10-09 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","The Platinum Collection - Héroes del Silencio(3CD) Juan® - Taringa! http://t.co/tryXi73 vía @taringa","","","","http://www.taringa.net/posts/musica/7372426/The-Platinum-Collection---Heroes-del-Silencio_3CD_-Juan_.html"
"26854602274","","","2010-10-09 00:00:00 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","2010 - Bunbuby 3D audio(trackeado) y video [MU] Juan® - Taringa! http://t.co/GFheN1s vía @taringa","","","","http://www.taringa.net/posts/downloads/7372774/2010---Bunbuby-3D-audio_trackeado_-y-video-_MU_-Juan_.html"
"26086285748","","","2010-10-01 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bancos de mierda","","","",""
"24980450869","","","2010-09-20 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","No tengo dueño...no soy tu esclavo, un poco tuyo y de todo el mundo.","","","",""
"25069728283","","","2010-09-20 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Cantale a la estrella que te acompañó.""","","","",""
"24293423340","","","2010-09-12 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","la city entera con wifi...BASTA!","","","",""
"23194818816","","","2010-09-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Destinos cruzados....","","","",""
"23194917676","","","2010-09-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@marininga al final no vas?","","","",""
"23203248896","23195589526","145741959","2010-09-07 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@rosalesmanu FIJATE, tambien da para escucharla mientras los ojos se cierran de apoco","","","",""
"22876847158","","","2010-09-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","afffffffffffffff","","","",""
